Name,Price,Reviews,Size,Category,Rating
"California Gold Nutrition, Silymarin Complex, Liver Health, Milk Thistle, Curcumin, Artichoke, Dandelion, Ginger, Black Pepper, 300 mg, 120 Veggie Capsules",21.78,19480.0,0.3,supplements,4.7
"21st Century, Zinc Citrate, 50 mg, 60 Tablets",3.11,4338.0,0.05,supplements,4.8
"Arthur Andrew Medical, Syntol AMD, Advanced Microflora Delivery, 500 mg, 360 Capsules",202.2,1103.0,0.5,supplements,4.5
"Nature's Way, Alive! Men's Ultra Potency Complete Multivitamin, 60 Tablets",26.21,10899.0,,supplements,4.5
"California Gold Nutrition, Gold C, Vitamin C, 1,000 mg, 240 Veggie Capsules",23.33,121799.0,0.0,supplements,4.8
"Solaray, Vitamin D3 + K2, Soy-Free, 60 VegCaps",15.96,25212.0,,supplements,4.9
"California Gold Nutrition, Lutein with Zeaxanthin, 20 mg, 60 Veggie Softgels",10.89,12797.0,0.02,supplements,4.7
"California Gold Nutrition, SPORT  - Whey Protein Isolate, 1 lb, 16 oz (454 g)",18.66,9845.0,454.0,supplements,4.6
"Doctor's Best, High Absorption CoQ10 with BioPerine, 100 mg, 120 Softgels",29.0,12241.0,0.1,supplements,4.7
"California Gold Nutrition, Organic Extra Virgin Coconut Oil, Unrefined, Cold-Pressed, 16 fl oz (473 ml)",11.31,42247.0,,supplements,4.8
"California Gold Nutrition, Vitamin C Gummies, Natural Orange Flavor, Gelatin Free, 90 Gummies",9.8,29406.0,,supplements,4.8
"California Gold Nutrition, Immune 4, Immune System Support, 180 Veggie Capsules",16.33,72464.0,,supplements,4.8
"Now Foods, L-Cysteine, 500 mg, 100 Tablets",14.02,7431.0,0.5,supplements,4.3
"Doctor's Best, Lutein with OptiLut, 20 mg, 120 Veggie Caps",20.92,8178.0,0.02,supplements,4.5
"Life Extension, Magnesium Caps, 500 mg, 100 Vegetarian Capsules",14.0,8122.0,0.5,supplements,4.7
"21st Century, Vitamin C, 1,000 mg, 60 Tablets",4.67,9317.0,0.0,supplements,4.7
"Solaray, Timed Release Vitamin C, 1,000 mg, 100 Tablets",13.44,7203.0,0.0,supplements,4.7
"Solgar, Omega-3, EPA & DHA, Triple Strength, 950 mg, 100 Softgels",49.85,22483.0,0.95,supplements,4.8
"Now Foods, Vitamin D-3 & K-2, 120 Veg Capsules",12.0,13232.0,,supplements,4.8
"Now Foods, Omega-3, Molecularly Distilled, 30 Softgels",3.67,5468.0,,supplements,4.8
"Now Foods, L-Arginine, Double Strength, 1,000 mg, 120 Tablets",25.85,5142.0,0.0,supplements,4.6
"California Gold Nutrition, MEM Food, Memory and Cognitive Support, Individual Packet, 0.3 oz (8.5 g)",1.55,1807.0,8.5,supplements,4.5
"California Gold Nutrition, Baby Vitamin D3 Liquid, 10 mcg (400 IU), 0.34 fl oz (10 ml)",8.71,55869.0,,supplements,4.9
"Now Foods, Quercetin with Bromelain, 120 Veg Capsules",29.54,7282.0,,supplements,4.7
"Life Extension, Zinc Caps, High Potency, 50 mg, 90 Vegetarian Capsules",10.5,10746.0,0.05,supplements,4.8
"iHerb Goods, iHerb Blender Bottle with Blender Ball, Green, 28 oz",4.67,19473.0,,supplements,4.7
"Doctor's Best, Extra Strength Ginkgo, 120 mg, 120 Veggie Caps",14.8,21216.0,0.12,supplements,4.7
"Now Foods, Zinc Picolinate, 50 mg, 120 Veg Capsules",13.85,8583.0,0.05,supplements,4.8
"Now Foods, Glutathione, 500 mg, 60 Veg Capsules",40.63,5109.0,0.5,supplements,4.5
"Now Foods, Vitamin D-3, High Potency, 1,000 IU, 180 Softgels",8.3,24707.0,,supplements,4.9
"21st Century, Vitamin C, 250 mg, 110 Tablets",4.06,4063.0,0.25,supplements,4.7
"Now Foods, Magnesium Citrate, 120 Veg Capsules",15.7,15525.0,,supplements,4.8
"De La Cruz, Castor Oil, 2 fl oz (59 ml)",3.11,466.0,,supplements,4.7
"21st Century, Potassium Gluconate, 595 mg, 110 Tablets",3.45,3626.0,0.595,supplements,4.5
"Gummiology, Adult Multivitamin Gummies, Natural Raspberry Flavor, 100 Vegetarian Gummies",12.44,2457.0,,supplements,4.4
"Doctor's Best, Glucosamine Chondroitin MSM with OptiMSM, 240 Veggie Caps",40.97,23600.0,,supplements,4.7
"Life Extension, Magnesium Caps, 500 mg, 100 Vegetarian Capsules",14.0,8122.0,0.5,supplements,4.7
"ChildLife, Liquid Calcium with Magnesium, Natural Orange Flavor, 16 fl oz (474 ml)",24.83,24712.0,,supplements,4.8
"California Gold Nutrition, Antarctic Krill Oil, with Astaxanthin, RIMFROST, Natural Strawberry & Lemon Flavor, 500 mg, 120 Fish Gelatin Softgels",35.78,13550.0,0.5,supplements,4.7
"Nature's Plus, Source of Life, Animal Parade, Vitamin C, Natural Orange Juice Flavor, 90 Animal-Shaped Tablets",11.51,9771.0,,supplements,4.8
"KAL, Magnesium Glycinate 400, 200 mg, 90 Tablets",23.32,18923.0,0.2,supplements,4.8
"Doctor's Best, Vitamin D3, 125 mcg (5,000 IU), 360 Softgels",18.31,22654.0,,supplements,4.8
"Doctor's Best, Glucosamine Chondroitin MSM with OptiMSM, 240 Veggie Caps",40.97,23600.0,,supplements,4.7
"Now Foods, Double Strength Silymarin, 300 mg, 200 Veg Capsules",29.79,17209.0,0.3,supplements,4.7
"Nature's Way, Zinc Lozenges, Wild Berry Flavored, 60 Vegan Lozenges",6.05,13768.0,,supplements,4.8
"Now Foods, Vitamin A, 10,000 IU, 100 Softgels",6.46,13292.0,,supplements,4.8
"21st Century, Magnesium, 250 mg, 110 Tablets",3.45,14589.0,0.25,supplements,4.6
"California Gold Nutrition, Children's DHA Chewables, Wild Arctic Cod, Strawberry-Lemon Flavor, 180 Fish Gelatin Softgels",15.56,8909.0,,supplements,4.7
"Solgar, Magnesium with Vitamin B6, 250 Tablets",22.82,8029.0,,supplements,4.8
"MRM, Nutrition, Acetyl L-Carnitine, 60 Vegan Capsules",10.93,7103.0,,supplements,4.7
"California Gold Nutrition, Vitamin D3, 50 mcg (2,000 IU), 360 Fish Gelatin Softgels",13.07,13472.0,,supplements,4.8
"NutriBiotic, Immunity, Sodium Ascorbate, Crystalline Powder, 16 oz (454 g)",29.15,37351.0,454.0,supplements,4.9
"Natural Factors, Vitamin D3, Strawberry Flavor, 10 mcg (400 IU), 100 Chewable Tablets",5.82,10323.0,,supplements,4.8
"KAL, Magnesium Malate 400, 90 Tablets",15.85,7806.0,,supplements,4.8
"Now Foods, Glutathione, 500 mg, 30 Veg Capsules",22.15,5109.0,0.5,supplements,4.5
"BioGaia, ProTectis, Baby Drops , For Colic & Digestive Comfort with Vitamin D, 0.34 fl oz (10 ml)",46.18,4785.0,,supplements,4.8
"Now Foods, Sambucus Zinc-C, 60 Lozenges",9.22,5256.0,,supplements,4.9
"NutriBiotic, Vegan GSE Grapefruit Seed Extract, Liquid Concentrate, 2 fl oz (59 ml)",18.65,22641.0,,supplements,4.9
"Doctor's Best, MSM with OptiMSM, 1,500 mg, 120 Tablets",13.08,8270.0,0.5,supplements,4.5
"Solaray, Zinc, 50 mg, 100 VegCaps",7.53,3208.0,0.05,supplements,4.8
"Garden of Life, Dr. Formulated Probiotics, Once Daily Women's, 50 Billion, 30 Vegetarian Capsules",48.01,6115.0,,supplements,4.6
"Now Foods, C-1000, 250 Tablets",25.85,10886.0,,supplements,4.7
"Doctor's Best, Extra Strength Ginkgo, 120 mg, 120 Veggie Caps",14.8,21216.0,0.12,supplements,4.7
"KAL, Magnesium Taurate+, 200 mg, 90 Tablets",21.76,11123.0,0.2,supplements,4.9
"Vital Proteins, Collagen Peptides, Unflavored, 1.25 lbs (567 g)",66.89,9047.0,567.0,supplements,4.8
"Now Foods, Mega D-3 & MK-7, 180 mcg (5,000 IU), 60 Veg Capsules",23.09,3952.0,,supplements,4.8
"Doctor's Best, High Absorption CoQ10 with BioPerine, 100 mg, 120 Softgels",29.0,12241.0,0.1,supplements,4.7
"Life Extension, Vitamins D and K with Sea-Iodine, 60 Capsules",28.0,7367.0,,supplements,4.8
"Now Foods, Liquid Vitamin D-3, Extra Strength, 1,000 IU, 1 fl oz (30 ml)",12.91,10616.0,,supplements,4.9
"Doctor's Best, Lutein with OptiLut, 20 mg, 120 Veggie Caps",20.92,8178.0,0.02,supplements,4.5
"Solgar, Vitamin D3 (Cholecalciferol), 125 mcg (5,000 IU), 100 Softgels",20.42,7515.0,,supplements,4.9
"Now Foods, Sunflower Lecithin, Pure Powder, 1 lb (454 g)",22.15,14388.0,454.0,supplements,4.8
"Now Foods, Inositol Capsules, 500 mg, 100 Veg Capsules",9.22,8240.0,0.5,supplements,4.7
"Life Extension, Super Selenium Complex & Vitamin E, 200 mcg, 100 Vegetarian Capsules",16.33,7151.0,,supplements,4.8
"California Gold Nutrition, Ferrochel Iron (Bisglycinate), 36 mg, 90 Veggie Capsules",10.89,6804.0,0.036,supplements,4.7
"Life Extension, Neuro-Mag, Magnesium L-Threonate, 90 Vegetarian Capsules",46.67,4085.0,,supplements,4.7
"iHerb Goods, iHerb Blender Bottle with Blender Ball, Green, 28 oz",4.67,19473.0,,supplements,4.7
"Natural Factors, Zinc Citrate, 50 mg, 90 Tablets",6.56,5449.0,0.05,supplements,4.8
"21st Century, Biotin, 800 mcg, 110 Easy Swallow Tablets",3.45,6547.0,,supplements,4.6
"Nature's Plus, Source of Life, Animal Parade, Calcium, Children's Chewable Supplement, Vanilla Sundae, 90 Animal-Shaped Tablets",12.8,12166.0,,supplements,4.8
"Now Foods, Molecularly Distilled Omega-3, 100 Softgels",8.3,45414.0,,supplements,4.7
"Now Foods, Chlorophyll, 100 mg, 90 Veg Capsules",14.76,6520.0,0.1,supplements,4.7
"Now Foods, Zinc Glycinate, 120 Softgels",13.85,8185.0,,supplements,4.8
"Doctor's Best, Glucosamine Chondroitin MSM with OptiMSM, 120 Veggie Caps",22.66,23600.0,,supplements,4.7
"Solaray, Timed Release Vitamin C, 1,000 mg, 100 Tablets",13.44,7203.0,0.0,supplements,4.7
"Solgar, Skin, Nails & Hair, Advanced MSM Formula, 60 Tablets",17.41,28390.0,,supplements,4.7
"Optimum Nutrition, Gold Standard 100% Whey, Double Rich Chocolate, 5 lbs (2.27 kg)",93.32,18981.0,2270.0,supplements,4.6
"Solaray, Magnesium Glycinate, 100 mg, 120 VegCaps",18.42,9741.0,0.1,supplements,4.8
"Solgar, Omega-3 Fish Oil Concentrate, 240 Softgels",30.03,11849.0,,supplements,4.8
"California Gold Nutrition, MEM Food, Memory and Cognitive Support, Individual Packet, 0.3 oz (8.5 g)",1.55,1807.0,8.5,supplements,4.5
"Now Foods, Folic Acid, 800 mcg, 250 Tablets",7.37,11260.0,,supplements,4.8
"Now Foods, Magnesium Citrate, 240 Veg Capsules",29.54,15525.0,,supplements,4.8
"California Gold Nutrition, Vitamin D3 Gummies, No Gelatin, No Gluten, Mixed Berry & Fruit Flavors, 25 mcg (1,000 IU), 90 Gummies",9.8,6181.0,,supplements,4.8
"Now Foods, GABA with Vitamin B-6, 500 mg, 100 Veg Capsules",12.0,9837.0,0.5,supplements,4.6
"Natural Factors, Magnesium Citrate, 150 mg, 90 Capsules",9.48,9374.0,0.15,supplements,4.8
"Nature's Way, Alive! Men's Ultra Potency Complete Multivitamin, 60 Tablets",26.21,10899.0,,supplements,4.5
"Sports Research, Collagen Peptides, Unflavored, 16 oz (454 g)",39.2,12234.0,454.0,supplements,4.8
"California Gold Nutrition, CoQ10, 100 mg, 30 Veggie Softgels",7.78,14780.0,0.1,supplements,4.6
"Natural Factors, BlueRich, Super Strength, Blueberry Concentrate, 500 mg, 90 Softgels",13.1,6123.0,0.5,supplements,4.6
"Natural Factors, Vitamin C, Time Release, 1,000 mg, 180 Tablets",16.02,4626.0,0.0,supplements,4.7
"Now Foods, Chewable Vitamin D-3, Natural Fruit Flavor, 1,000 IU, 180 Chewables",11.06,5796.0,,supplements,4.9
"Garden of Life, Vitamin Code, RAW Zinc, 60 Vegan Capsules",16.73,8898.0,,supplements,4.9
"21st Century, Acidophilus Probiotic Blend, 150 Capsules",11.56,14091.0,,supplements,4.6
"Youtheory, Collagen, 6,000 mg, 290 Tablets",28.61,9178.0,0.0,supplements,4.6
"Now Foods, Melatonin, 3 mg, 60 Veg Capsules",5.52,15662.0,0.003,supplements,4.5
"Neocell, Super Collagen + C, Collagen Type 1 & 3, 360 Tablets",39.37,19626.0,,supplements,4.5
"21st Century, B Complex Plus Vitamin C, 100 Tablets",8.06,4947.0,,supplements,4.7
"Now Foods, L-Arginine, Double Strength, 1,000 mg, 120 Tablets",25.85,5142.0,0.0,supplements,4.6
"Now Foods, Certified Organic Spirulina, 500 mg, 500 Tablets",25.11,17390.0,0.5,supplements,4.7
"Now Foods, Ultra Omega 3-D, 180 Fish Softgels",46.17,7994.0,,supplements,4.8
"Thorne Research, Basic Nutrients 2/Day, 60 Capsules",44.8,1174.0,,supplements,4.6
"Nature's Way, Zinc Chelate, 30 mg, 100 Capsules",8.06,7497.0,0.03,supplements,4.8
"Now Foods, ADAM, Superior Men's Multi, 90 Softgels",29.54,17944.0,,supplements,4.8
"Natrol, Melatonin Advanced Sleep, Time Release, 10 mg, 100 Tablets",20.37,6977.0,0.01,supplements,4.4
"Natural Factors, Zinc Citrate, 15 mg, 90 Tablets",5.82,8253.0,0.015,supplements,4.8
"MRM, Vegan Vitamin D3 & K2, 60 Vegan Capsules",13.98,5485.0,,supplements,4.8
"Nature's Plus, Hema-Plex, 60 Fast-Acting Softgels",12.21,9069.0,,supplements,4.9
"Dr. Mercola, Liposomal Vitamin C, 1,000 mg, 60 Capsules",25.4,6498.0,0.0,supplements,4.7
"Now Foods, Magnesium Caps, 400 mg, 180 Veg Capsules",17.54,5525.0,0.4,supplements,4.7
"Doctor's Best, High Absorption Magnesium 100% Chelated with Albion Minerals, 100 mg, 240 Tablets",27.98,46744.0,0.1,supplements,4.7
"Nature's Plus, Source of Life, Animal Parade, Vitamin C, Children's Chewable Supplement, Sugar Free, Natural Orange Juice Flavor, 90 Animal-Shaped Tablets",14.64,6549.0,,supplements,4.8
"Doctor's Best, Pure Collagen Types 1 and 3 Powder, 7.1 oz (200 g)",15.69,7454.0,200.0,supplements,4.5
"Now Foods, 5-HTP, 100 mg, 120 Veg Capsules",26.59,11973.0,0.1,supplements,4.6
"Now Foods, Selenium, 100 mcg, 250 Tablets",12.91,9110.0,,supplements,4.8
"Doctor's Best, High Absorption Magnesium 100% Chelated with Albion Minerals, 100 mg, 120 Tablets",14.83,46744.0,0.1,supplements,4.7
"Oslomega, Norwegian Kids Omega-3 Fish Oil, Natural Lemon Flavor, 6.7 fl oz (200 ml)",24.89,5856.0,,supplements,4.8
"American Health, Ester-C with Citrus Bioflavonoids, 500 mg, 225 Vegetarian Tablets",31.24,8682.0,0.5,supplements,4.8
"Solaray, Zinc Copper, 100 VegCaps",10.61,4139.0,,supplements,4.7
"Natrol, Melatonin, Advanced Sleep, Time Release, 10 mg, 60 Tablets",13.98,6977.0,0.01,supplements,4.4
"Now Foods, Kid's Chewable DHA, Tasty Fruit, 60 Softgels",14.76,10466.0,,supplements,4.8
"Jarrow Formulas, Methyl B-12 & Methyl Folate, Lemon, 100 Chewable Tablets",21.26,5274.0,,supplements,4.8
"Now Foods, Potassium Citrate, 99 mg, 180 Veg Capsules",11.06,3691.0,0.099,supplements,4.7
"Gerber, Lil Brainies, Omega Tri-Blend & DHA, Kids Multivitamin, Ages 2+, 60 Gummies",14.24,4896.0,,supplements,4.7
"Doctor's Best, PepZin GI, Zinc-L-Carnosine Complex, 120 Veggie Caps",30.51,4103.0,,supplements,4.7
"Thorne Research, Vitamin D/K2, 1 fl oz (30 ml)",38.89,8865.0,,supplements,4.9
"Thorne Research, NAC, 90 Capsules",38.89,774.0,,supplements,4.9
"21st Century, Vitamin C, 500 mg, 250 Tablets",9.22,10233.0,0.5,supplements,4.7
"Bluebonnet Nutrition, Vitamin A, 3,000 mcg, 100 Softgels",9.89,5840.0,,supplements,4.9
"ChildLife, Pure DHA, Natural Berry, 90 Softgels",14.51,6685.0,,supplements,4.6
"NutriBiotic, Vegan GSE Grapefruit Seed Extract, Liquid Concentrate, 4 fl oz (118 ml)",30.32,22641.0,,supplements,4.9
"Solaray, Kids Vitamins & Minerals, Chewable, Natural Black Cherry, 120 Chewables",12.43,10532.0,,supplements,4.7
"Now Foods, Probiotic-10, 25 Billion, 50 Veg Capsules",22.15,6808.0,,supplements,4.6
"California Gold Nutrition, Organic Extra Virgin Coconut Oil, Unrefined, Cold-Pressed, 16 fl oz (473 ml)",11.31,42247.0,,supplements,4.8
"Life Extension, Optimized Quercetin, 250 mg, 60 Vegetarian Capsules",25.67,1248.0,0.25,supplements,4.8
"21st Century, One Daily, Women's, 100 Tablets",6.94,6997.0,,supplements,4.5
"Solaray, Magnesium Citrate, 133 mg, 180 VegCaps",17.56,6068.0,0.133,supplements,4.7
"Now Foods, C-1000, 100 Tablets",12.0,10886.0,,supplements,4.7
"Now Foods, Calcium & Magnesium with Vitamin D-3 and Zinc, 240 Softgels",25.85,7991.0,,supplements,4.7
"Doctor's Best, Alpha-Lipoic Acid, 600 mg, 60 Veggie Caps",19.17,6772.0,0.6,supplements,4.7
"Nordic Naturals, Children's DHA, Ages 1-6, Strawberry, 530 mg, 4 fl oz (119 ml)",23.74,16766.0,0.53,supplements,4.8
"Now Foods, Magnesium & Calcium, 100 Tablets",13.85,5519.0,,supplements,4.8
"Now Foods, Ultra Omega-3, 90 Softgels",24.0,45338.0,,supplements,4.8
"Now Foods, Maca, 500 mg, 250 Veg Capsules",19.93,10858.0,0.5,supplements,4.5
"Sundown Naturals, Calcium, Magnesium & Zinc, 100 Caplets",6.69,6322.0,,supplements,4.7
"Natural Factors, WomenSense, RxOmega-3, 120 Enteripure Softgels",17.47,8497.0,,supplements,4.8
"21st Century, Fish Oil, 1,000 mg, 300 Softgels",19.63,8163.0,0.0,supplements,4.7
"Sundown Naturals, Calcium, Magnesium & Zinc, 100 Caplets",6.69,6322.0,,supplements,4.7
"California Gold Nutrition, LactoBif Probiotics, 100 Billion CFU, 30 Veggie Capsules",42.0,4903.0,,supplements,4.6
"Lake Avenue Nutrition, Biotin, 5,000 mcg, 30 Veggie Capsules",4.67,2631.0,,supplements,4.7
"Now Foods, ADAM, Superior Men's Multi, 90 Softgels",29.54,17944.0,,supplements,4.8
"Now Foods, Probiotic-10 , 25 Billion, 100 Veg Capsules",36.94,6808.0,,supplements,4.6
"Now Foods, Probiotic-10, 25 Billion, 50 Veg Capsules",22.15,6808.0,,supplements,4.6
"California Gold Nutrition, Men’s Multi Vitamin Gummies, No Gelatin, No Gluten, Mixed Berry and Fruit Flavor, 90 Gummies",11.2,2395.0,,supplements,4.7
"Solaray, Vitamin D3 + K2, Soy Free, 120 VegCaps",28.98,8571.0,,supplements,4.9
"Sundown Naturals, B-Complex, 100 Tablets",7.67,5413.0,,supplements,4.7
"Natural Factors, Vitamin D3, Strawberry Flavor, 10 mcg (400 IU), 100 Chewable Tablets",5.82,10323.0,,supplements,4.8
"Solaray, Timed Release Vitamin C, 1,000 mg, 250 VegCaps",31.44,3812.0,0.0,supplements,4.7
"Now Foods, UC-II Joint Health, Undenatured Type II Collagen, 120 Veg Capsules",55.41,4038.0,,supplements,4.7
"Dr. Mercola, Liposomal Vitamin C, 500 mg, 180 Capsules",62.7,6498.0,0.5,supplements,4.7
"Now Foods, Vitamin A, 25,000 IU, 250 Softgels",16.61,2989.0,,supplements,4.8
"1Kvit-C, Vitamin C, Essential, Effervescent Drink Mix, Natural Orange Flavor, 1,000 mg , 3 Packets, 0.24 oz (6.90 g) Each",2.3,2223.0,0.0,supplements,4.4
"Life Extension, Vitamins D and K with Sea-Iodine, 60 Capsules",28.0,7367.0,,supplements,4.8
"Sierra Fit, Keto Daily Multi-Vitamins with Green Tea,  90 Veggie Capsules",24.89,541.0,,supplements,4.6
"Natrol, Melatonin, 3 mg, 60 Tablets",11.0,2770.0,0.003,supplements,4.5
"Now Foods, Lutein & Zeaxanthin, 60 Softgels",25.85,2835.0,,supplements,4.7
"21st Century, E, 90 mg (200 IU), 110 Softgels",6.94,919.0,0.09,supplements,4.7
"Now Foods, Glutathione, 500 mg, 30 Veg Capsules",22.15,5109.0,0.5,supplements,4.5
"MRM, Melatonin, 3 mg, 60 Vegan Capsules",4.64,2375.0,0.003,supplements,4.6
"California Gold Nutrition, Curcumin C3 Complex with BioPerine, 500 mg, 120 Veggie Capsules ",45.11,2615.0,0.5,supplements,4.7
"Now Foods, Iron, 18 mg, 120 Veg Capsules",10.15,4508.0,0.018,supplements,4.7
"Now Foods, Selenium, 100 mcg, 100 Tablets",6.46,9110.0,,supplements,4.8
"21st Century, Quick Dissolve Melatonin, Cherry Flavor, 10 mg, 120 Tablets",11.56,3406.0,0.01,supplements,4.6
"Nature's Way, Echinacea, 99.9% Alcohol Free, 1 fl oz (30 ml)",10.08,4018.0,,supplements,4.8
"Doctor's Best, NAC Detox Regulators, 180 Veggie Caps",24.4,7115.0,,supplements,4.8
"21st Century, VitaJoy Melatonin Gummies, 5 mg, 120 Gummies",13.86,1395.0,0.005,supplements,4.6
"21st Century, Biotin, 5,000 mcg, 110 Capsules",8.06,3880.0,,supplements,4.7
"Now Foods, Vitamin D-3 & K-2, 120 Veg Capsules",12.0,13232.0,,supplements,4.8
"Jarrow Formulas, Women's Fem Dophilus, 60 Veggie Caps",45.69,4354.0,,supplements,4.5
"Doctor's Best, Vitamin D3, 50 mcg (2,000 IU), 180 Softgels",9.6,5529.0,,supplements,4.9
"Fairhaven Health, Myo-Inositol, For Women and Men, 120 Capsules",37.8,5874.0,,supplements,4.7
"Thorne Research, Zinc Picolinate, 15 mg, 60 Capsules",17.11,6079.0,0.015,supplements,4.9
"Now Foods, Astaxanthin, 4 mg, 60 Veggie Softgels",14.76,3552.0,0.004,supplements,4.6
"Solgar, Gentle Iron, 25 mg, 90 Vegetable Capsules",15.0,22053.0,0.025,supplements,4.8
"Nature's Way, Alive! Once Daily, Women's 50+ Multi-Vitamin, 60 Tablets",26.21,6971.0,,supplements,4.6
"Now Foods, L-Lysine, 1,000 mg, 100 Tablets",12.0,8209.0,0.0,supplements,4.8
"Sambucol, Black Elderberry Syrup, For Kids, Berry Flavor, 7.8 fl oz (230 ml)",29.58,9819.0,,supplements,4.8
"Natural Factors, CurcuminRich, Theracurmin, 60 Vegetarian Capsules",23.3,3503.0,,supplements,4.8
"Enzymedica, Digest Basic, Essential Enzyme Formula, 180 Capsules",29.54,10076.0,,supplements,4.8
"Now Foods, Super Enzymes, 180 Capsules",34.18,12694.0,,supplements,4.7
"Jarrow Formulas, Extra Virgin Coconut Oil, 16 fl oz (473 g)",13.53,22386.0,473.0,supplements,4.8
"Superior Source, Extra Strength Vitamin D3, 125 mcg (5,000 IU), 100 MicroLingual Instant Dissolve Tablets",16.53,3510.0,,supplements,4.9
"Now Foods, Omega-3, Molecularly Distilled, 180 Softgels",22.15,3166.0,,supplements,4.8
"Doctor's Best, Natural Vitamin K2 MK-7 with MenaQ7, 100 mcg, 60 Veggie Caps ",18.31,3589.0,,supplements,4.8
"Thorne Research, Basic B Complex, 60 Capsules",35.78,5854.0,,supplements,4.7
"Natural Factors, Magnesium Citrate, 150 mg, 180 Capsules",16.76,9374.0,0.15,supplements,4.8
"Michael's Naturopathic, Vitamin D3 with Vitamin K2, Apricot, 5,000 IU, 90 Vegetarian Chewable Tablets",26.82,4200.0,,supplements,4.9
"Life Extension, Two-Per-Day Capsules, 60 Capsules",15.17,21888.0,,supplements,4.7
"Mamma Chia, Organic Chia Seed, 12 oz (340 g)",8.17,16710.0,340.0,supplements,4.8
